OBU_ID,Travel_time,Hour
1,172.0166654,2
2,177.3053807,2
3,213.4245983,2
4,185.9229455,2
5,202.9815179,2
6,179.3528951,2
7,218.7572475,2
8,165.465407,2
9,208.3614767,2
10,210.4207525,2
11,198.0469798,2
12,170.8697468,2
13,185.6524189,2
14,219.2009807,2
15,160.8838869,2
16,169.0752559,2
17,171.7564962,2
18,171.5608485,2
19,218.7829447,2
20,199.072469,2
21,173.379992,2
22,219.7040934,2
23,180.7811282,2
24,219.8775864,2
25,202.5808522,2
26,188.6729899,2
27,191.2888614,2
28,162.5352087,2
29,211.9578456,2
30,204.7762378,2
31,177.2700611,2
32,213.0164774,2
33,215.8790978,2
34,197.4466807,2
35,201.9876804,2
36,201.1133167,2
37,205.4359139,2
38,184.3383791,2
39,208.9047978,2
40,197.4295133,2
41,167.5001408,2
42,206.6092566,2
43,219.3512437,2
44,168.2684197,2
45,187.8140185,2
46,181.2648767,2
47,170.1371148,2
48,168.5561584,2
49,189.0796765,2
50,199.2406003,2
51,160.1881112,2
52,211.5572865,2
53,212.1428354,2
54,215.0861216,2
55,199.2712578,2
56,200.9225964,2
57,183.2509849,2
58,218.1975542,2
59,177.7523448,2
60,206.9313539,2
61,214.6044456,2
62,219.6108426,2
63,192.9896525,2
64,170.5195951,2
65,205.9781852,2
66,162.664683,2
67,183.3760137,2
68,162.6028643,2
69,207.2704813,2
70,203.3407287,2
71,181.3744236,2
72,210.4865557,2
73,201.0398188,2
74,165.451416,2
75,215.7327907,2
76,174.4344789,2
77,176.849107,2
78,170.9994097,2
79,185.0658245,2
80,195.2790735,2
81,198.2961047,2
82,163.8546849,2
83,184.0429178,2
84,191.0886066,2
85,185.069225,2
86,206.5174742,2
87,180.7886465,2
88,209.0353819,2
89,212.1146633,2
90,203.4406108,2
91,182.6422975,2
92,193.3630272,2
93,175.1839281,2
94,215.721902,2
95,173.3214156,2
96,174.7629259,2
97,160.0225462,2
98,217.9746394,2
99,217.6548864,2
100,184.6598842,2
101,189.1835152,2
102,193.7964328,2
103,196.2561491,2
104,194.5749714,2
105,202.2742909,2
106,199.0144801,2
107,204.6710047,2
108,209.9849667,2
109,172.9420224,2
110,163.013677,2
111,164.8749085,2
112,164.856057,2
113,173.424683,2
114,215.1793343,2
115,201.113663,2
116,194.5969816,2
117,169.6041955,2
118,215.225562,2
119,182.6049915,2
120,178.2766143,2
121,195.0107109,2
122,189.2681685,2
123,212.497324,2
124,219.1774064,2
125,192.1278416,2
126,198.0955245,2
127,171.2949191,2
128,163.5293376,2
129,167.5784438,2
130,210.7958063,2
131,183.2712792,2
132,183.6991898,2
133,183.8599849,2
134,191.0376847,2
135,209.1426814,2
136,184.8327459,2
137,177.4197501,2
138,173.5436812,2
139,203.7672119,2
140,203.1595572,2
141,184.834668,2
142,175.4469684,2
143,214.8787406,2
144,174.2374332,2
145,178.206913,2
146,213.9692324,2
147,218.6182915,2
148,201.1323497,2
149,170.7477733,2
150,160.5255609,2
151,218.7824392,2
152,183.9398876,2
153,165.5365197,2
154,212.0794172,2
155,215.3450602,2
156,169.4692048,2
157,200.5862284,2
158,180.7767483,2
159,191.5394809,2
160,216.2347884,2
161,196.1819738,2
162,197.7745984,2
163,164.4280482,2
164,163.2636097,2
165,178.4291259,2
166,162.4503751,2
167,199.3216926,2
168,210.4681061,2
169,182.6499159,2
170,174.8496229,2
171,198.8009866,2
172,162.3751079,2
173,191.0978259,2
174,201.5067045,2
175,203.1591529,2
176,164.3692186,2
177,186.4801358,2
178,169.7995062,2
179,182.2905659,2
180,164.1839438,2
181,202.6137588,2
182,184.840905,2
183,198.2192609,2
184,167.1227889,2
